Sex_is_Female,Sex_is_LGBT,Sex_is_Male,Sex_is_Other,Age_is_18 - 23 Years old,Age_is_24 - 30 Years old,Age_is_30 - 36 Years old,Age_is_< 18 Years old,Age_is_>36 Years old,Career_is_Other,Career_is_Private company,Career_is_Self-employed,Career_is_Student,Career_is_freelance,Career_is_state enterprise,"Income_is_15,001 - 20,000 Baht","Income_is_20,001 - 25,000 Baht","Income_is_25,001 - 40,000 Baht","Income_is_40,001 - 60,000 Baht","Income_is_5,000 - 15,000 Baht","Income_is_60,001 - 100,000 Baht","ncome_is_< 5,000 Baht","Income_is_>100,000 Baht","Budget_is_1,500 - 3,000 Baht","Budget_is_3,001 - 4,500 Baht","Budget_is_4,501 - 6,000 Baht","Budget_is_6,501 - 8,000 Baht","Budget_is_< 1,500 Baht","Budget_is_>8,000 Baht",UsageNo1_Can be used in any situation,UsageNo1_Easy to clean,UsageNo1_Easy to put on and take off your shoes,UsageNo1_Good impact resistance,"UsageNo1_It is strong, durable and can be used for a long time","UsageNo1_Light, comfortable, soft, breathable",UsageNo1_Tight and flexible to fit,UsageNo2_Can be used in any situation,UsageNo2_Easy to clean,UsageNo2_Easy to put on and take off your shoes,UsageNo2_Good impact resistance,"UsageNo2_It is strong, durable and can be used for a long time","UsageNo2_Light, comfortable, soft, breathable",UsageNo2_Other,UsageNo2__Tight and flexible to fit,UsageNo3_Can be used in any situation,UsageNo3_Easy to clean,UsageNo3_Easy to put on and take off your shoes,UsageNo3_Good impact resistance,"UsageNo3_It is strong, durable and can be used for a long time","UsageNo3_Light, comfortable, soft, breathable",UsageNo3_Other,UsageNo3_Tight and flexible to fit,DesignNo1_Colorful,DesignNo1_It has a minimalist design,DesignNo1_It has a street-style design,DesignNo1_It is classic and traditional,DesignNo1_Modern Follow fashion trends,DesignNo1_Shoes have a shape that is not like other shoes,DesignNo1_The design is sleek,DesignNo2_Colorful,DesignNo2_It has a minimalist design,DesignNo2_It has a street-style design,DesignNo2_It is classic and traditional',DesignNo2_Modern Follow fashion trends,DesignNo2_Other,DesignNo2_Shoes have a shape that is not like other shoes,DesignNo2_The design is sleek,DesignNo3_Colorful,DesignNo3_It has a minimalist design,DesignNo3_It has a street-style design,DesignNo3_It is classic and traditional,DesignNo3_Modern Follow fashion trends,DesignNo3_Other,DesignNo3_Shoes have a shape that is not like other shoes,DesignNo3_The design is sleek,Adidas shoes
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Adidas Stan Smith
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Adidas Stan Smith
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Adidas Stan Smith
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Adidas Ultra Boost
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Adidas Stan Smith
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Adidas Slip on
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Adidas Superstar
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Adidas Superstar
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Adidas Stan Smith
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Adidas Superstar
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Adidas NMD XR1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Adidas Stan Smith
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Adidas Stan Smith
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Adidas Slip on
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Adidas Ultra Boost
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Adidas Ultra Boost
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Adidas Stan Smith
