Sex,Age,Career,Income,Budget,Usage characteristics No1,Usage characteristics No2,Usage characteristics No3,Design characteristics No1,Design characteristics No2,Design characteristics No3,Adidas shoes
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Easy to put on and take off your shoes,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Modern Follow fashion trends,It has a minimalist design,It is classic and traditional,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Easy to put on and take off your shoes,"It is strong, durable and can be used for a long time",Tight and flexible to fit,It is classic and traditional,It has a street-style design,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Good impact resistance,It has a minimalist design,The design is sleek,It has a street-style design,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,The design is sleek,Modern Follow fashion trends,It has a minimalist design,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,"It is strong, durable and can be used for a long time",It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Slip on
Female,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Easy to clean,Can be used in any situation,It has a minimalist design,Modern Follow fashion trends,Other,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,The design is sleek,Modern Follow fashion trends,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Easy to put on and take off your shoes,"Light, comfortable, soft, breathable",It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Stan Smith
Male,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","4,501 - 6,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Can be used in any situation,The design is sleek,It is classic and traditional,It has a street-style design,Adidas Superstar
Female,18 - 23 Years old,Private company,"20,001 - 25,000 Baht",">8,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,Modern Follow fashion trends,It is classic and traditional,The design is sleek,Adidas NMD XR1
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Good impact resistance,Tight and flexible to fit,Can be used in any situation,It has a minimalist design,Shoes have a shape that is not like other shoes,It has a street-style design,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Easy to clean,It has a street-style design,It has a minimalist design,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Easy to put on and take off your shoes,It has a minimalist design,Modern Follow fashion trends,Shoes have a shape that is not like other shoes,Adidas Slip on
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,Can be used in any situation,It has a street-style design,Modern Follow fashion trends,The design is sleek,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"40,001 - 60,000 Baht","3,001 - 4,500 Baht",Good impact resistance,Easy to put on and take off your shoes,Can be used in any situation,The design is sleek,It has a minimalist design,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
